Date,team1,team2
2019-05-31,ARI,NYM
2019-05-31,KCR,TEX
2019-05-31,BAL,SFG
2019-05-31,SEA,LAA
2019-05-31,TOR,COL
2019-05-31,MIA,SDP
2019-06-01,OAK,HOU
2019-06-01,PHI,LAD
2019-06-01,BOS,NYY
2019-06-01,TBR,MIN
2019-06-01,DET,ATL
2019-06-01,CHW,CLE
2019-06-01,CIN,WSN
2019-06-01,CHC,STL
2019-06-01,PIT,MIL
2019-06-01,ARI,NYM
2019-06-01,KCR,TEX
2019-06-01,BAL,SFG
2019-06-01,SEA,LAA
2019-06-01,TOR,COL
2019-06-01,MIA,SDP
2019-06-02,OAK,HOU
2019-06-02,PHI,LAD
2019-06-02,BOS,NYY
2019-06-02,TBR,MIN
2019-06-02,DET,ATL
2019-06-02,CHW,CLE
2019-06-02,CIN,WSN
2019-06-02,CHC,STL
2019-06-02,PIT,MIL
2019-06-02,ARI,NYM
2019-06-02,KCR,TEX
2019-06-02,BAL,SFG
2019-06-02,SEA,LAA
2019-06-02,TOR,COL
2019-06-02,MIA,SDP
2019-06-03,SEA,HOU
2019-06-03,ARI,LAD
2019-06-03,LAA,CHC
2019-06-03,SDP,PHI
2019-06-04,SEA,HOU
2019-06-04,ARI,LAD
2019-06-04,TOR,NYY
2019-06-04,CLE,MIN
2019-06-04,PIT,ATL
2019-06-04,LAA,OAK
2019-06-04,DET,TBR
2019-06-04,CHW,WSN
2019-06-04,CIN,STL
2019-06-04,MIA,MIL
2019-06-04,SFG,NYM
2019-06-04,KCR,BOS
2019-06-04,COL,CHC
2019-06-04,SDP,PHI
2019-06-04,BAL,TEX
2019-06-05,SEA,HOU
2019-06-05,ARI,LAD
2019-06-05,TOR,NYY
2019-06-05,CLE,MIN
2019-06-05,PIT,ATL
2019-06-05,LAA,OAK
2019-06-05,DET,TBR
2019-06-05,CHW,WSN
2019-06-05,MIA,MIL
2019-06-05,SFG,NYM
2019-06-05,KCR,BOS
2019-06-05,COL,CHC
2019-06-05,SDP,PHI
2019-06-05,BAL,TEX
2019-06-06,SEA,HOU
2019-06-06,TOR,NYY
2019-06-06,CLE,MIN
2019-06-06,PIT,ATL
2019-06-06,LAA,OAK
2019-06-06,DET,TBR
2019-06-06,SDP,WSN
2019-06-06,CIN,STL
2019-06-06,MIA,MIL
2019-06-06,SFG,NYM
2019-06-06,KCR,BOS
2019-06-06,COL,CHC
2019-06-06,BAL,TEX
2019-06-07,BAL,HOU
2019-06-07,SFG,LAD
2019-06-07,CLE,NYY
2019-06-07,DET,MIN
2019-06-07,MIA,ATL
2019-06-07,TEX,OAK
2019-06-07,BOS,TBR
2019-06-07,SDP,WSN
2019-06-07,CHC,STL
2019-06-07,PIT,MIL
2019-06-07,COL,NYM
2019-06-07,TOR,ARI
2019-06-07,CIN,PHI
2019-06-07,KCR,CHW
2019-06-07,SEA,LAA
2019-06-08,BAL,HOU
2019-06-08,SFG,LAD
2019-06-08,CLE,NYY
2019-06-08,DET,MIN
2019-06-08,MIA,ATL
2019-06-08,TEX,OAK
2019-06-08,TEX,OAK
2019-06-08,BOS,TBR
2019-06-08,BOS,TBR
2019-06-08,SDP,WSN
2019-06-08,CHC,STL
2019-06-08,PIT,MIL
2019-06-08,COL,NYM
2019-06-08,TOR,ARI
2019-06-08,CIN,PHI
2019-06-08,KCR,CHW
2019-06-08,SEA,LAA
2019-06-09,BAL,HOU
2019-06-09,SFG,LAD
2019-06-09,CLE,NYY
2019-06-09,DET,MIN
2019-06-09,MIA,ATL
2019-06-09,TEX,OAK
2019-06-09,BOS,TBR
2019-06-09,SDP,WSN
2019-06-09,CHC,STL
2019-06-09,PIT,MIL
2019-06-09,COL,NYM
2019-06-09,TOR,ARI
2019-06-09,CIN,PHI
2019-06-09,KCR,CHW
2019-06-09,SEA,LAA
2019-06-10,LAA,LAD
2019-06-10,PIT,ATL
2019-06-10,TBR,OAK
2019-06-10,CHW,WSN
2019-06-10,MIA,STL
2019-06-10,PHI,ARI
2019-06-10,TEX,BOS
2019-06-10,COL,CHC
2019-06-11,MIL,HOU
2019-06-11,LAA,LAD
2019-06-11,NYM,NYY
2019-06-11,NYM,NYY
2019-06-11,SEA,MIN
2019-06-11,PIT,ATL
2019-06-11,TBR,OAK
2019-06-11,CIN,CLE
2019-06-11,CHW,WSN
2019-06-11,MIA,STL
2019-06-11,PHI,ARI
2019-06-11,TEX,BOS
2019-06-11,COL,CHC
2019-06-11,SDP,SFG
2019-06-11,BAL,TOR
2019-06-11,DET,KCR
2019-06-12,MIL,HOU
2019-06-12,SEA,MIN
2019-06-12,PIT,ATL
2019-06-12,TBR,OAK
2019-06-12,CIN,CLE
2019-06-12,MIA,STL
2019-06-12,PHI,ARI
2019-06-12,TEX,BOS
2019-06-12,COL,CHC
2019-06-12,SDP,SFG
2019-06-12,BAL,TOR
2019-06-12,DET,KCR
2019-06-13,CHC,LAD
2019-06-13,CHW,NYY
2019-06-13,SEA,MIN
2019-06-13,PIT,ATL
2019-06-13,LAA,TBR
2019-06-13,ARI,WSN
2019-06-13,NYM,STL
2019-06-13,TEX,BOS
2019-06-13,SDP,COL
2019-06-13,BAL,TOR
2019-06-13,DET,KCR
2019-06-14,TOR,HOU
2019-06-14,CHC,LAD
2019-06-14,CHW,NYY
2019-06-14,KCR,MIN
2019-06-14,PHI,ATL
2019-06-14,SEA,OAK
2019-06-14,LAA,TBR
2019-06-14,DET,CLE
2019-06-14,ARI,WSN
2019-06-14,NYM,STL
2019-06-14,SFG,MIL
2019-06-14,BAL,BOS
2019-06-14,CIN,TEX
2019-06-14,SDP,COL
2019-06-14,MIA,PIT
2019-06-15,TOR,HOU
2019-06-15,CHC,LAD
2019-06-15,CHW,NYY
2019-06-15,KCR,MIN
2019-06-15,PHI,ATL
2019-06-15,SEA,OAK
2019-06-15,LAA,TBR
2019-06-15,DET,CLE
2019-06-15,ARI,WSN
2019-06-15,NYM,STL
2019-06-15,SFG,MIL
2019-06-15,BAL,BOS
2019-06-15,CIN,TEX
2019-06-15,SDP,COL
2019-06-15,MIA,PIT
2019-06-16,TOR,HOU
2019-06-16,CHC,LAD
2019-06-16,CHW,NYY
2019-06-16,KCR,MIN
2019-06-16,PHI,ATL
2019-06-16,SEA,OAK
2019-06-16,LAA,TBR
2019-06-16,DET,CLE
2019-06-16,ARI,WSN
2019-06-16,NYM,STL
2019-06-16,SFG,MIL
2019-06-16,BAL,BOS
2019-06-16,CIN,TEX
2019-06-16,SDP,COL
2019-06-16,MIA,PIT
2019-06-17,CIN,HOU
2019-06-17,SFG,LAD
2019-06-17,TBR,NYY
2019-06-17,BOS,MIN
2019-06-17,NYM,ATL
2019-06-17,BAL,OAK
2019-06-17,TEX,CLE
2019-06-17,MIA,STL
2019-06-17,SDP,MIL
2019-06-17,TOR,LAA
2019-06-17,KCR,SEA
2019-06-18,CIN,HOU
2019-06-18,SFG,LAD
2019-06-18,TBR,NYY
2019-06-18,BOS,MIN
2019-06-18,NYM,ATL
2019-06-18,BAL,OAK
2019-06-18,TEX,CLE
2019-06-18,MIA,STL
2019-06-18,SDP,MIL
2019-06-18,COL,ARI
2019-06-18,CHW,CHC
2019-06-18,TOR,LAA
2019-06-18,DET,PIT
2019-06-18,KCR,SEA
2019-06-19,CIN,HOU
2019-06-19,SFG,LAD
2019-06-19,TBR,NYY
2019-06-19,BOS,MIN
2019-06-19,NYM,ATL
2019-06-19,BAL,OAK
2019-06-19,TEX,CLE
2019-06-19,PHI,WSN
2019-06-19,PHI,WSN
2019-06-19,MIA,STL
2019-06-19,SDP,MIL
2019-06-19,COL,ARI
2019-06-19,CHW,CHC
2019-06-19,TOR,LAA
2019-06-19,DET,PIT
2019-06-19,KCR,SEA
2019-06-20,NYY,HOU
2019-06-20,SFG,LAD
2019-06-20,KCR,MIN
2019-06-20,TBR,OAK
2019-06-20,TEX,CLE
2019-06-20,PHI,WSN
2019-06-20,MIA,STL
2019-06-20,CIN,MIL
2019-06-20,CHC,NYM
2019-06-20,COL,ARI
2019-06-20,TOR,LAA
2019-06-20,BAL,SEA
2019-06-21,NYY,HOU
2019-06-21,COL,LAD
2019-06-21,KCR,MIN
2019-06-21,WSN,ATL
2019-06-21,TBR,OAK
2019-06-21,DET,CLE
2019-06-21,LAA,STL
2019-06-21,CIN,MIL
2019-06-21,CHC,NYM
2019-06-21,SFG,ARI
2019-06-21,TOR,BOS
2019-06-21,MIA,PHI
2019-06-21,CHW,TEX
2019-06-21,PIT,SDP
2019-06-21,BAL,SEA
2019-06-22,NYY,HOU
2019-06-22,COL,LAD
2019-06-22,KCR,MIN
2019-06-22,WSN,ATL
2019-06-22,TBR,OAK
2019-06-22,DET,CLE
2019-06-22,LAA,STL
2019-06-22,CIN,MIL
2019-06-22,CHC,NYM
2019-06-22,SFG,ARI
2019-06-22,TOR,BOS
2019-06-22,MIA,PHI
2019-06-22,CHW,TEX
2019-06-22,PIT,SDP
2019-06-22,BAL,SEA
2019-06-23,NYY,HOU
2019-06-23,COL,LAD
2019-06-23,KCR,MIN
2019-06-23,WSN,ATL
2019-06-23,TBR,OAK
2019-06-23,DET,CLE
2019-06-23,LAA,STL
2019-06-23,CIN,MIL
2019-06-23,CHC,NYM
2019-06-23,SFG,ARI
2019-06-23,TOR,BOS
2019-06-23,MIA,PHI
2019-06-23,CHW,TEX
2019-06-23,PIT,SDP
2019-06-23,BAL,SEA
2019-06-24,ARI,LAD
2019-06-24,TOR,NYY
2019-06-24,CHC,ATL
2019-06-24,KCR,CLE
2019-06-24,PHI,NYM
2019-06-24,CHW,BOS
2019-06-24,COL,SFG
2019-06-25,PIT,HOU
2019-06-25,ARI,LAD
2019-06-25,TOR,NYY
2019-06-25,TBR,MIN
2019-06-25,CHC,ATL
2019-06-25,STL,OAK
2019-06-25,KCR,CLE
2019-06-25,MIA,WSN
2019-06-25,SEA,MIL
2019-06-25,PHI,NYM
2019-06-25,CHW,BOS
2019-06-25,DET,TEX
2019-06-25,COL,SFG
2019-06-25,LAA,CIN
2019-06-25,BAL,SDP
2019-06-26,PIT,HOU
2019-06-26,ARI,LAD
2019-06-26,TOR,NYY
2019-06-26,TBR,MIN
2019-06-26,CHC,ATL
2019-06-26,STL,OAK
2019-06-26,KCR,CLE
2019-06-26,MIA,WSN
2019-06-26,SEA,MIL
2019-06-26,PHI,NYM
2019-06-26,CHW,BOS
2019-06-26,DET,TEX
2019-06-26,COL,SFG
2019-06-26,LAA,CIN
2019-06-26,BAL,SDP
2019-06-27,PIT,HOU
2019-06-27,COL,LAD
2019-06-27,TBR,MIN
2019-06-27,CHC,ATL
2019-06-27,LAA,OAK
2019-06-27,MIA,WSN
2019-06-27,SEA,MIL
2019-06-27,PHI,NYM
2019-06-27,SFG,ARI
2019-06-27,DET,TEX
2019-06-28,SEA,HOU
2019-06-28,COL,LAD
2019-06-28,CHW,MIN
2019-06-28,NYM,ATL
2019-06-28,LAA,OAK
2019-06-28,TEX,TBR
2019-06-28,BAL,CLE
2019-06-28,DET,WSN
2019-06-28,SDP,STL
2019-06-28,PIT,MIL
2019-06-28,SFG,ARI
2019-06-28,CIN,CHC
2019-06-28,MIA,PHI
2019-06-28,KCR,TOR
2019-06-29,SEA,HOU
2019-06-29,COL,LAD
2019-06-29,BOS,NYY
2019-06-29,CHW,MIN
2019-06-29,NYM,ATL
2019-06-29,LAA,OAK
2019-06-29,TEX,TBR
2019-06-29,BAL,CLE
2019-06-29,DET,WSN
2019-06-29,SDP,STL
2019-06-29,PIT,MIL
2019-06-29,SFG,ARI
2019-06-29,CIN,CHC
2019-06-29,MIA,PHI
2019-06-29,KCR,TOR
2019-06-30,SEA,HOU
2019-06-30,COL,LAD
2019-06-30,BOS,NYY
2019-06-30,CHW,MIN
2019-06-30,NYM,ATL
2019-06-30,LAA,OAK
2019-06-30,TEX,TBR
2019-06-30,BAL,CLE
2019-06-30,DET,WSN
2019-06-30,SDP,STL
2019-06-30,PIT,MIL
2019-06-30,SFG,ARI
2019-06-30,CIN,CHC
2019-06-30,MIA,PHI
2019-06-30,KCR,TOR
2019-07-01,BAL,TBR
2019-07-01,CIN,MIL
2019-07-01,PIT,CHC
2019-07-01,SDP,SFG
2019-07-01,KCR,TOR
2019-07-02,COL,HOU
2019-07-02,ARI,LAD
2019-07-02,NYM,NYY
2019-07-02,OAK,MIN
2019-07-02,PHI,ATL
2019-07-02,BAL,TBR
2019-07-02,KCR,CLE
2019-07-02,MIA,WSN
2019-07-02,SEA,STL
2019-07-02,CIN,MIL
2019-07-02,TOR,BOS
2019-07-02,PIT,CHC
2019-07-02,LAA,TEX
2019-07-02,SDP,SFG
2019-07-03,COL,HOU
2019-07-03,ARI,LAD
2019-07-03,NYM,NYY
2019-07-03,OAK,MIN
2019-07-03,PHI,ATL
2019-07-03,BAL,TBR
2019-07-03,KCR,CLE
2019-07-03,MIA,WSN
2019-07-03,SEA,STL
2019-07-03,CIN,MIL
2019-07-03,TOR,BOS
2019-07-03,PIT,CHC
2019-07-03,LAA,TEX
2019-07-03,SDP,SFG
2019-07-03,DET,CHW
2019-07-03,DET,CHW
2019-07-04,SDP,LAD
2019-07-04,TBR,NYY
2019-07-04,OAK,MIN
2019-07-04,PHI,ATL
2019-07-04,KCR,CLE
2019-07-04,MIA,WSN
2019-07-04,SEA,STL
2019-07-04,CIN,MIL
2019-07-04,TOR,BOS
2019-07-04,PIT,CHC
2019-07-04,LAA,TEX
2019-07-04,DET,CHW
2019-07-05,LAA,HOU
2019-07-05,SDP,LAD
2019-07-05,TBR,NYY
2019-07-05,TEX,MIN
2019-07-05,MIA,ATL
2019-07-05,SEA,OAK
2019-07-05,KCR,WSN
2019-07-05,SFG,STL
2019-07-05,PIT,MIL
2019-07-05,PHI,NYM
2019-07-05,COL,ARI
2019-07-05,DET,BOS
2019-07-05,BAL,TOR
2019-07-06,LAA,HOU
2019-07-06,SDP,LAD
2019-07-06,TBR,NYY
2019-07-06,TEX,MIN
2019-07-06,MIA,ATL
2019-07-06,SEA,OAK
2019-07-06,CIN,CLE
2019-07-06,KCR,WSN
2019-07-06,SFG,STL
2019-07-06,PIT,MIL
2019-07-06,PHI,NYM
2019-07-06,COL,ARI
2019-07-06,DET,BOS
2019-07-06,CHW,CHC
2019-07-06,BAL,TOR
2019-07-07,LAA,HOU
2019-07-07,SDP,LAD
2019-07-07,TBR,NYY
2019-07-07,TEX,MIN
2019-07-07,MIA,ATL
2019-07-07,SEA,OAK
2019-07-07,CIN,CLE
2019-07-07,KCR,WSN
2019-07-07,SFG,STL
2019-07-07,PIT,MIL
2019-07-07,PHI,NYM
2019-07-07,COL,ARI
2019-07-07,DET,BOS
2019-07-07,CHW,CHC
2019-07-07,BAL,TOR
2019-07-11,TEX,HOU
2019-07-12,TEX,HOU
2019-07-12,BOS,LAD
2019-07-12,TOR,NYY
2019-07-12,CLE,MIN
2019-07-12,SDP,ATL
2019-07-12,CHW,OAK
2019-07-12,BAL,TBR
2019-07-12,PHI,WSN
2019-07-12,ARI,STL
2019-07-12,SFG,MIL
2019-07-12,MIA,NYM
2019-07-12,PIT,CHC
2019-07-12,COL,CIN
2019-07-12,SEA,LAA
2019-07-12,DET,KCR
2019-07-13,TEX,HOU
2019-07-13,BOS,LAD
2019-07-13,TOR,NYY
2019-07-13,CLE,MIN
2019-07-13,SDP,ATL
2019-07-13,CHW,OAK
2019-07-13,BAL,TBR
2019-07-13,BAL,TBR
2019-07-13,PHI,WSN
2019-07-13,ARI,STL
2019-07-13,SFG,MIL
2019-07-13,MIA,NYM
2019-07-13,PIT,CHC
2019-07-13,COL,CIN
2019-07-13,SEA,LAA
2019-07-13,DET,KCR
2019-07-14,TEX,HOU
2019-07-14,BOS,LAD
2019-07-14,TOR,NYY
2019-07-14,CLE,MIN
2019-07-14,SDP,ATL
2019-07-14,CHW,OAK
2019-07-14,BAL,TBR
2019-07-14,PHI,WSN
2019-07-14,ARI,STL
2019-07-14,SFG,MIL
2019-07-14,MIA,NYM
2019-07-14,PIT,CHC
2019-07-14,COL,CIN
2019-07-14,SEA,LAA
2019-07-14,DET,KCR
2019-07-15,LAA,HOU
2019-07-15,PHI,LAD
2019-07-15,TBR,NYY
2019-07-15,MIL,ATL
2019-07-15,DET,CLE
2019-07-15,PIT,STL
2019-07-15,TOR,BOS
2019-07-15,CIN,CHC
2019-07-15,COL,SFG
2019-07-15,COL,SFG
2019-07-15,KCR,CHW
2019-07-16,LAA,HOU
2019-07-16,PHI,LAD
2019-07-16,TBR,NYY
2019-07-16,NYM,MIN
2019-07-16,MIL,ATL
2019-07-16,SEA,OAK
2019-07-16,DET,CLE
2019-07-16,BAL,WSN
2019-07-16,PIT,STL
2019-07-16,TEX,ARI
2019-07-16,TOR,BOS
2019-07-16,CIN,CHC
2019-07-16,COL,SFG
2019-07-16,KCR,CHW
2019-07-16,MIA,SDP
2019-07-17,LAA,HOU
2019-07-17,PHI,LAD
2019-07-17,NYM,MIN
2019-07-17,MIL,ATL
2019-07-17,SEA,OAK
2019-07-17,DET,CLE
2019-07-17,BAL,WSN
2019-07-17,PIT,STL
2019-07-17,TEX,ARI
2019-07-17,TOR,BOS
2019-07-17,CIN,CHC
2019-07-17,COL,SFG
2019-07-17,KCR,CHW
2019-07-17,MIA,SDP
2019-07-18,LAA,HOU
2019-07-18,PHI,LAD
2019-07-18,TBR,NYY
2019-07-18,TBR,NYY
2019-07-18,OAK,MIN
2019-07-18,WSN,ATL
2019-07-18,DET,CLE
2019-07-18,CIN,STL
2019-07-18,ARI,MIL
2019-07-18,SFG,NYM
2019-07-18,TOR,BOS
2019-07-18,KCR,CHW
2019-07-18,MIA,SDP
2019-07-19,TEX,HOU
2019-07-19,MIA,LAD
2019-07-19,COL,NYY
2019-07-19,OAK,MIN
2019-07-19,WSN,ATL
2019-07-19,CHW,TBR
2019-07-19,KCR,CLE
2019-07-19,CIN,STL
2019-07-19,ARI,MIL
2019-07-19,SFG,NYM
2019-07-19,BAL,BOS
2019-07-19,SDP,CHC
2019-07-19,PIT,PHI
2019-07-19,SEA,LAA
2019-07-19,DET,TOR
2019-07-20,TEX,HOU
2019-07-20,MIA,LAD
2019-07-20,COL,NYY
2019-07-20,OAK,MIN
2019-07-20,WSN,ATL
2019-07-20,CHW,TBR
2019-07-20,KCR,CLE
2019-07-20,CIN,STL
2019-07-20,ARI,MIL
2019-07-20,SFG,NYM
2019-07-20,BAL,BOS
2019-07-20,SDP,CHC
2019-07-20,PIT,PHI
2019-07-20,SEA,LAA
2019-07-20,DET,TOR
2019-07-21,TEX,HOU
2019-07-21,MIA,LAD
2019-07-21,COL,NYY
2019-07-21,OAK,MIN
2019-07-21,WSN,ATL
2019-07-21,CHW,TBR
2019-07-21,KCR,CLE
2019-07-21,CIN,STL
2019-07-21,ARI,MIL
2019-07-21,SFG,NYM
2019-07-21,BAL,BOS
2019-07-21,SDP,CHC
2019-07-21,PIT,PHI
2019-07-21,SEA,LAA
2019-07-21,DET,TOR
2019-07-22,OAK,HOU
2019-07-22,MIN,NYY
2019-07-22,BOS,TBR
2019-07-22,TOR,CLE
2019-07-22,PIT,STL
2019-07-22,CIN,MIL
2019-07-22,BAL,ARI
2019-07-22,SFG,CHC
2019-07-22,SEA,TEX
2019-07-22,MIA,CHW
2019-07-23,OAK,HOU
2019-07-23,LAA,LAD
2019-07-23,MIN,NYY
2019-07-23,KCR,ATL
2019-07-23,BOS,TBR
2019-07-23,TOR,CLE
2019-07-23,COL,WSN
2019-07-23,PIT,STL
2019-07-23,CIN,MIL
2019-07-23,SDP,NYM
2019-07-23,BAL,ARI
2019-07-23,SFG,CHC
2019-07-23,DET,PHI
2019-07-23,SEA,TEX
2019-07-23,MIA,CHW
2019-07-24,OAK,HOU
2019-07-24,LAA,LAD
2019-07-24,MIN,NYY
2019-07-24,KCR,ATL
2019-07-24,BOS,TBR
2019-07-24,TOR,CLE
2019-07-24,COL,WSN
2019-07-24,COL,WSN
2019-07-24,PIT,STL
2019-07-24,CIN,MIL
2019-07-24,SDP,NYM
2019-07-24,BAL,ARI
2019-07-24,SFG,CHC
2019-07-24,DET,PHI
2019-07-24,SEA,TEX
2019-07-24,MIA,CHW
2019-07-25,BOS,NYY
2019-07-25,CHW,MIN
2019-07-25,TEX,OAK
2019-07-25,KCR,CLE
2019-07-25,COL,WSN
2019-07-25,PIT,STL
2019-07-25,SDP,NYM
2019-07-25,BAL,LAA
2019-07-25,DET,SEA
2019-07-26,STL,HOU
2019-07-26,WSN,LAD
2019-07-26,BOS,NYY
2019-07-26,CHW,MIN
2019-07-26,PHI,ATL
2019-07-26,TEX,OAK
2019-07-26,TOR,TBR
2019-07-26,KCR,CLE
2019-07-26,CHC,MIL
2019-07-26,PIT,NYM
2019-07-26,MIA,ARI
2019-07-26,SDP,SFG
2019-07-26,COL,CIN
2019-07-26,BAL,LAA
2019-07-26,DET,SEA
2019-07-27,STL,HOU
2019-07-27,WSN,LAD
2019-07-27,BOS,NYY
2019-07-27,CHW,MIN
2019-07-27,PHI,ATL
2019-07-27,TEX,OAK
2019-07-27,TOR,TBR
2019-07-27,KCR,CLE
2019-07-27,CHC,MIL
2019-07-27,PIT,NYM
2019-07-27,MIA,ARI
2019-07-27,SDP,SFG
2019-07-27,COL,CIN
2019-07-27,BAL,LAA
2019-07-27,DET,SEA
2019-07-28,STL,HOU
2019-07-28,WSN,LAD
2019-07-28,BOS,NYY
2019-07-28,CHW,MIN
2019-07-28,PHI,ATL
2019-07-28,TEX,OAK
2019-07-28,TOR,TBR
2019-07-28,KCR,CLE
2019-07-28,CHC,MIL
2019-07-28,PIT,NYM
2019-07-28,MIA,ARI
2019-07-28,SDP,SFG
2019-07-28,COL,CIN
2019-07-28,BAL,LAA
2019-07-28,DET,SEA
2019-07-29,COL,LAD
2019-07-29,WSN,ATL
2019-07-29,MIA,ARI
2019-07-29,PIT,CIN
2019-07-29,DET,LAA
2019-07-29,BAL,SDP
2019-07-29,KCR,TOR
2019-07-30,CLE,HOU
2019-07-30,COL,LAD
2019-07-30,ARI,NYY
2019-07-30,MIA,MIN
2019-07-30,WSN,ATL
2019-07-30,MIL,OAK
2019-07-30,BOS,TBR
2019-07-30,CHC,STL
2019-07-30,CHW,NYM
2019-07-30,SFG,PHI
2019-07-30,SEA,TEX
2019-07-30,PIT,CIN
2019-07-30,DET,LAA
2019-07-30,BAL,SDP
2019-07-30,KCR,TOR
2019-07-31,CLE,HOU
2019-07-31,COL,LAD
2019-07-31,ARI,NYY
2019-07-31,MIA,MIN
2019-07-31,WSN,ATL
2019-07-31,MIL,OAK
2019-07-31,BOS,TBR
2019-07-31,CHC,STL
2019-07-31,CHW,NYM
2019-07-31,SFG,PHI
2019-07-31,SEA,TEX
2019-07-31,PIT,CIN
2019-07-31,DET,LAA
2019-07-31,KCR,TOR
2019-08-01,CLE,HOU
2019-08-01,SDP,LAD
2019-08-01,MIA,MIN
2019-08-01,CIN,ATL
2019-08-01,MIL,OAK
2019-08-01,BOS,TBR
2019-08-01,CHC,STL
2019-08-01,CHW,NYM
2019-08-01,SFG,PHI
2019-08-01,BAL,TOR
2019-08-02,SEA,HOU
2019-08-02,SDP,LAD
2019-08-02,BOS,NYY
2019-08-02,KCR,MIN
2019-08-02,CIN,ATL
2019-08-02,LAA,CLE
